SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,CURRENCY,PRODUCT_NAME,MAIN_BUSINESS_INCOME,MBI_RATIO,IS_TOTAL,YEAR,MONTH,QUARTER,QUARTERLY_INCOME,TOTAL_QUARTERLY_INCOME,QUARTERLY_RATIO
BILI.O,BILI,哔哩哔哩,10916946,2021/3/31,CNY,增值服务,1496529000,0.38362,0,2021,3,1,1496529000,3901073000,0.38361984
BILI.O,BILI,哔哩哔哩,10916946,2021/6/30,CNY,增值服务,3131472000,0.372957,0,2021,6,2,1634943000,4495254000,0.363704253
BILI.O,BILI,哔哩哔哩,10916946,2021/9/30,CNY,增值服务,5040368000,0.370536,0,2021,9,3,1908896000,5206574000,0.366631877
BILI.O,BILI,哔哩哔哩,10916946,2021/12/31,CNY,增值服务,6934886000,0.357769,0,2021,12,4,1894518000,5780783000,0.327726884
BILI.O,BILI,哔哩哔哩,10916946,2022/3/31,CNY,增值服务,2052192000,0.406045,0,2022,3,1,2052192000,5054099000,0.406045074
BILI.O,BILI,哔哩哔哩,10916946,2022/6/30,CNY,增值服务,4155650000,0.417107,0,2022,6,2,2103458000,4908931000,0.428496143
BILI.O,BILI,哔哩哔哩,10916946,2022/9/30,CNY,增值服务,6365361000,0.403979,0,2022,9,3,2209711000,5793651000,0.381402159
BILI.O,BILI,哔哩哔哩,10916946,2022/12/31,CNY,增值服务,8715170000,0.397968,0,2022,12,4,2349809000,6142486000,0.38255016
BILI.O,BILI,哔哩哔哩,10916946,2023/3/31,CNY,增值服务,2156224000,0.425323,0,2023,3,1,2156224000,5069611000,0.425323363
BILI.O,BILI,哔哩哔哩,10916946,2023/6/30,CNY,增值服务,4457965000,0.429733,0,2023,6,2,2301741000,5304199000,0.433946954
BILI.O,BILI,哔哩哔哩,10916946,2023/9/30,CNY,增值服务,7053001000,0.435938,0,2023,9,3,2595036000,5805081000,0.447028388
BILI.O,BILI,哔哩哔哩,10916946,2023/12/31,CNY,增值服务,9910080000,0.439901,0,2023,12,4,2857079000,6349096000,0.449997763
BILI.O,BILI,哔哩哔哩,10916946,2024/3/31,CNY,增值服务,2528909000,0.446441,0,2024,3,1,2528909000,5664600000,0.446440878
BILI.O,BILI,哔哩哔哩,10916946,2024/6/30,CNY,增值服务,5094797000,0.432065,0,2024,6,2,2565888000,6611441000,0.388098147
BILI.O,BILI,哔哩哔哩,10916946,2024/9/30,CNY,增值服务,7916066000,0.414511,0,2024,9,3,2821269000,7305620000,0.386177901
BILI.O,BILI,哔哩哔哩,10916946,2024/12/31,CNY,增值服务,10999137000,0.409933,0,2024,12,4,3083071000,7734161000,0.39863031
BILI.O,BILI,哔哩哔哩,10916946,2025/3/31,CNY,增值服务,2807340000,0.400863,0,2025,3,1,2807340000,7003248000,0.400862571
BILI.O,BILI,哔哩哔哩,10916946,2021/3/31,CNY,广告,714687000,0.183203,0,2021,3,1,714687000,3901073000,0.183202673
BILI.O,BILI,哔哩哔哩,10916946,2021/6/30,CNY,广告,1763836000,0.210072,0,2021,6,2,1049149000,4495254000,0.233390371
BILI.O,BILI,哔哩哔哩,10916946,2021/9/30,CNY,广告,2935805000,0.215822,0,2021,9,3,1171969000,5206574000,0.225094083
BILI.O,BILI,哔哩哔哩,10916946,2021/12/31,CNY,广告,4523421000,0.233362,0,2021,12,4,1587616000,5780783000,0.274636844
BILI.O,BILI,哔哩哔哩,10916946,2022/3/31,CNY,广告,1040770000,0.205926,0,2022,3,1,1040770000,5054099000,0.205925923
BILI.O,BILI,哔哩哔哩,10916946,2022/6/30,CNY,广告,2199022000,0.220718,0,2022,6,2,1158252000,4908931000,0.235947908
BILI.O,BILI,哔哩哔哩,10916946,2022/9/30,CNY,广告,3553856000,0.225546,0,2022,9,3,1354834000,5793651000,0.233848052
BILI.O,BILI,哔哩哔哩,10916946,2022/12/31,CNY,广告,5066212000,0.231343,0,2022,12,4,1512356000,6142486000,0.246212364
BILI.O,BILI,哔哩哔哩,10916946,2023/3/31,CNY,广告,1271804000,0.250868,0,2023,3,1,1271804000,5069611000,0.250868163
BILI.O,BILI,哔哩哔哩,10916946,2023/6/30,CNY,广告,2844644000,0.274214,0,2023,6,2,1572840000,5304199000,0.296527336
BILI.O,BILI,哔哩哔哩,10916946,2023/9/30,CNY,广告,4482876000,0.277082,0,2023,9,3,1638232000,5805081000,0.28220657
BILI.O,BILI,哔哩哔哩,10916946,2023/12/31,CNY,广告,6412040000,0.284626,0,2023,12,4,1929164000,6349096000,0.303848611
BILI.O,BILI,哔哩哔哩,10916946,2024/3/31,CNY,广告,1668584000,0.294563,0,2024,3,1,1668584000,5664600000,0.294563429
BILI.O,BILI,哔哩哔哩,10916946,2024/6/30,CNY,广告,3706075000,0.314294,0,2024,6,2,2037491000,6611441000,0.308176538
BILI.O,BILI,哔哩哔哩,10916946,2024/9/30,CNY,广告,5800502000,0.303733,0,2024,9,3,2094427000,7305620000,0.286687098
BILI.O,BILI,哔哩哔哩,10916946,2024/12/31,CNY,广告,8189175000,0.305207,0,2024,12,4,2388673000,7734161000,0.308847075
BILI.O,BILI,哔哩哔哩,10916946,2025/3/31,CNY,广告,1997635000,0.285244,0,2025,3,1,1997635000,7003248000,0.285244075
BILI.O,BILI,哔哩哔哩,10916946,2021/3/31,CNY,手机游戏,1170746000,0.300109,0,2021,3,1,1170746000,3901073000,0.300108714
BILI.O,BILI,哔哩哔哩,10916946,2021/6/30,CNY,手机游戏,2403910000,0.286305,0,2021,6,2,1233164000,4495254000,0.274325767
BILI.O,BILI,哔哩哔哩,10916946,2021/9/30,CNY,手机游戏,3795576000,0.279027,0,2021,9,3,1391666000,5206574000,0.26729016
BILI.O,BILI,哔哩哔哩,10916946,2021/12/31,CNY,手机游戏,5090926000,0.26264,0,2021,12,4,1295350000,5780783000,0.224078641
BILI.O,BILI,哔哩哔哩,10916946,2022/3/31,CNY,手机游戏,1357818000,0.268657,0,2022,3,1,1357818000,5054099000,0.268656787
BILI.O,BILI,哔哩哔哩,10916946,2022/6/30,CNY,手机游戏,2404054000,0.241297,0,2022,6,2,1046236000,4908931000,0.213129091
BILI.O,BILI,哔哩哔哩,10916946,2022/9/30,CNY,手机游戏,3875385000,0.245952,0,2022,9,3,1471331000,5793651000,0.253955753
BILI.O,BILI,哔哩哔哩,10916946,2022/12/31,CNY,手机游戏,5021290000,0.229291,0,2022,12,4,1145905000,6142486000,0.186553946
BILI.O,BILI,哔哩哔哩,10916946,2023/3/31,CNY,手机游戏,1131619000,0.223216,0,2023,3,1,1131619000,5069611000,0.22321614
BILI.O,BILI,哔哩哔哩,10916946,2023/6/30,CNY,手机游戏,2022503000,0.194962,0,2023,6,2,890884000,5304199000,0.167958253
BILI.O,BILI,哔哩哔哩,10916946,2023/9/30,CNY,手机游戏,3014279000,0.186309,0,2023,9,3,991776000,5805081000,0.170846195
BILI.O,BILI,哔哩哔哩,10916946,2023/12/31,CNY,手机游戏,4021137000,0.178495,0,2023,12,4,1006858000,6349096000,0.158582891
BILI.O,BILI,哔哩哔哩,10916946,2024/3/31,CNY,手机游戏,982810000,0.1735,0,2024,3,1,982810000,5664600000,0.173500335
BILI.O,BILI,哔哩哔哩,10916946,2024/6/30,CNY,手机游戏,1990177000,0.168777,0,2024,6,2,1007367000,6611441000,0.152367237
BILI.O,BILI,哔哩哔哩,10916946,2024/9/30,CNY,手机游戏,3812786000,0.19965,0,2024,9,3,1822609000,7305620000,0.2494804
BILI.O,BILI,哔哩哔哩,10916946,2024/12/31,CNY,手机游戏,5610323000,0.209094,0,2024,12,4,1797537000,7734161000,0.232415255
BILI.O,BILI,哔哩哔哩,10916946,2025/3/31,CNY,手机游戏,1731155000,0.247193,0,2025,3,1,1731155000,7003248000,0.24719316
BILI.O,BILI,哔哩哔哩,10916946,2021/3/31,CNY,知识产品衍生品及其他,519111000,0.133069,0,2021,3,1,519111000,3901073000,0.133068774
BILI.O,BILI,哔哩哔哩,10916946,2021/6/30,CNY,知识产品衍生品及其他,1097109000,0.130665,0,2021,6,2,577998000,4495254000,0.128579609
BILI.O,BILI,哔哩哔哩,10916946,2021/9/30,CNY,知识产品衍生品及其他,1831152000,0.134615,0,2021,9,3,734043000,5206574000,0.140983879
BILI.O,BILI,哔哩哔哩,10916946,2021/12/31,CNY,知识产品衍生品及其他,2834451000,0.146229,0,2021,12,4,1003299000,5780783000,0.173557631
BILI.O,BILI,哔哩哔哩,10916946,2022/3/31,CNY,知识产品衍生品及其他,603319000,0.119372,0,2022,3,1,603319000,5054099000,0.119372216
BILI.O,BILI,哔哩哔哩,10916946,2022/6/30,CNY,知识产品衍生品及其他,1204304000,0.120877,0,2022,6,2,600985000,4908931000,0.122426858
BILI.O,BILI,哔哩哔哩,10916946,2022/9/30,CNY,知识产品衍生品及其他,1962079000,0.124524,0,2022,9,3,757775000,5793651000,0.130794036
BILI.O,BILI,哔哩哔哩,10916946,2022/12/31,CNY,知识产品衍生品及其他,3096495000,0.141398,0,2022,12,4,1134416000,6142486000,0.18468353
BILI.O,BILI,哔哩哔哩,10916946,2024/6/30,CNY,知识产品衍生品及其他,1000695000,0.084864,0,2024,6,2,1000695000,6611441000,0.151358078
BILI.O,BILI,哔哩哔哩,10916946,2024/9/30,CNY,知识产品衍生品及其他,1568010000,0.082106,0,2024,9,3,567315000,7305620000,0.0776546
BILI.O,BILI,哔哩哔哩,10916946,2024/12/31,CNY,知识产品衍生品及其他,2032890000,0.075765,0,2024,12,4,464880000,7734161000,0.06010736
BILI.O,BILI,哔哩哔哩,10916946,2025/3/31,CNY,知识产品衍生品及其他,467118000,0.0667,0,2025,3,1,467118000,7003248000,0.066700194
BILI.O,BILI,哔哩哔哩,10916946,2023/3/31,CNY,知识产品衍生品及其他,509964000,0.100592,0,2023,3,1,509964000,5069611000,0.100592333
BILI.O,BILI,哔哩哔哩,10916946,2023/6/30,CNY,知识产品衍生品及其他,1048698000,0.101091,0,2023,6,2,538734000,5304199000,0.101567456
BILI.O,BILI,哔哩哔哩,10916946,2023/9/30,CNY,知识产品衍生品及其他,1628735000,0.10067,0,2023,9,3,580037000,5805081000,0.099918847
BILI.O,BILI,哔哩哔哩,10916946,2023/12/31,CNY,知识产品衍生品及其他,2184730000,0.096978,0,2023,12,4,555995000,6349096000,0.087570734
BILI.O,BILI,哔哩哔哩,10916946,2024/3/31,CNY,知识产品衍生品及其他,484297000,0.085495,0,2024,3,1,484297000,5664600000,0.085495357
